date,01-02-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@MarcelMeijer @Tesla Yes,177,19:37:05
"@engineers_feed We should make buildings out of high-strength steel, not concrete (which needs steel in it anyway)",1803,19:36:49
@austinhwade Nice,7776,00:34:19
"Don’t Doubt ur Vibe now on Spotify
https://t.co/yyLgnF4d7q",50260,00:17:58


date,07-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"@BnOrdhaug @Erdayastronaut I haven’t cross-checked RCS pulses with the MLI dimpling on the video, but it’s most likely the cause",1632,20:28:58
@webtekno Nice 🤣🤣,23284,20:20:30
"@Erdayastronaut Since there’s only one main engine, which gives pitch and yaw control, roll control is provided by… https://t.co/penNCjMqCE",3985,20:14:35
"@annerajb @waitbutwhy Looks like a thin, flat, round UFO on a stick. Starlink Terminal has motors to self-adjust op… https://t.co/LeH0qU4XCD",2743,14:06:05
@RenataKonkoly @RationalEtienne Just tryin to grow my follower count on pornhub …,21296,13:53:28
@RationalEtienne 🔥🔥🤣🤣,3448,13:45:50
@waitbutwhy DKE^DKE,828,13:25:41
@flcnhvy Sprockets was amazing,1921,10:00:33


date,08-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"@nichegamer King of the Goblins,
Master of the Labyrinth",5247,23:48:18
"♥️♥️ Tesla China Team ♥️♥️
     Such amazing progress!!",95672,17:05:30


date,09-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

I put the art in fart,456081,10:04:44
@fvckgerry Haha spectrum af 👶🏻,25527,09:21:14


date,10-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@RQuiddich Every tank under pressure is a balloon tank — it’s just question of degree. Starship tanks are not ballo… https://t.co/V5L2xulQE4,1438,23:26:33
"@Erdayastronaut @BocaChicaGal @NASASpaceflight Everything is compressible, but liquid compression at these pressure… https://t.co/ftOXmNRWGH",1881,23:24:10
@Erdayastronaut @BocaChicaGal @NASASpaceflight A given tank pressure is needed to feed the engine turbopumps &amp; pres… https://t.co/GkhvwOIzQz,1841,23:20:50
"@Erdayastronaut @BocaChicaGal @NASASpaceflight Dome to barrel weld made it to 7.1 bar, which is pretty good as ~6 b… https://t.co/VvhRqSIrvk",4562,19:38:01
@rainnwilson Great idea,17590,17:07:26
@Ye4bu @AyyAnge 🔥 &amp; ⚡️,9469,10:12:56
🎶 Toss a coin to ur Witcher 🎶,218659,09:57:08
Phony https://t.co/w9nyOAxQus,225282,07:19:46
@Nicoo_Correa Haha true,7376,07:09:34
@thirdrowtesla True,1275,07:06:29
@universal_sci The sun is green (peak photon frequency),2857,07:02:08
@bitcoin2020conf 😉,3262,06:58:23
Bitcoin is *not* my safe word,130080,06:53:10
@Grimezsz x is y,11933,06:36:15
@teslaownersSV Sure,5905,06:29:41


date,11-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

Critical test launch before flying astronauts is green for Jan 18 https://t.co/r4mcuCfCil,19939,23:55:38
@strangecosmos @annerajb Soon,2385,16:12:39
@annerajb Hard gothic,7578,15:39:02
@d1rtydan Haha,2063,15:32:44
We are trapped in a prison of fonts,107901,15:30:02
@flcnhvy @Erdayastronaut @BocaChicaGal @NASASpaceflight Yes,1455,02:40:20


date,12-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

.@Space_Station https://t.co/1qD2qn0waJ,20963,08:30:15
"RT @yousuck2020: [WANTED!!!] 
Why not be the ‘first woman’ to travel to the moon?
#MZ_looking_for_love 
https://t.co/R5VEMXwggl https://t.c…",0,08:27:01
@Kristennetten They will,4662,03:44:57
