Tweet,Date,Time,Favourite Count
@MarcelMeijer @Tesla Yes,01-02-2020,19:37:05,177
"@engineers_feed We should make buildings out of high-strength steel, not concrete (which needs steel in it anyway)",01-02-2020,19:36:49,1803
@austinhwade Nice,01-02-2020,00:34:19,7776
"Don’t Doubt ur Vibe now on Spotify
https://t.co/yyLgnF4d7q",01-02-2020,00:17:58,50260
"RT @thirdrowtesla: With great pleasure, we bring to you @ElonMusk's Story Part 2!!! 

Thank you Elon for sharing with us. 

We can't wait t…",31-01-2020,18:22:34,0
https://t.co/LoVC2RYN72,31-01-2020,10:25:30,47314
@vincent13031925 I appreciate the kind words!,31-01-2020,09:54:33,3151
@IamKarenBoBaran @georgezachary Those old ladies are wise https://t.co/f1uxKvCfbB,31-01-2020,09:44:04,924
"@georgezachary Meant to say other forms of “the cold”, not influenza https://t.co/38sqqL3f7i",31-01-2020,09:19:19,615
@georgezachary There is considerable conflation of diagnosis &amp; contraction of “corona”. Actual virality is much low… https://t.co/huyh4wasP5,31-01-2020,09:12:59,1662
@BenYu604 I become Tiesto at night,31-01-2020,07:48:00,7224
@Kevin702 🤣🤣,31-01-2020,07:46:00,748
Vibbbe https://t.co/21WKNOnMXZ,31-01-2020,06:40:13,148091
I wrote the lyrics &amp; performed the vocals!!,31-01-2020,06:30:34,40407
Be … cause … it’s … you,31-01-2020,06:29:08,20464
https://t.co/6lz3prQ2pF,31-01-2020,06:22:50,187341
"Don’t Doubt ur Vibe
https://t.co/5FJNJXUxW0",31-01-2020,06:20:03,97114
😅 this song is hard,31-01-2020,05:01:20,25827
Hope you’re enjoying the simulation https://t.co/nj9JTJc4lL,31-01-2020,04:36:54,288434
Be … cause … it’s … true,31-01-2020,02:39:13,42761
@poebist крипто,31-01-2020,01:04:13,1475
Releasing soon on Emo G Records!,31-01-2020,00:20:21,31555
@Erdayastronaut @Blamblas @latimes @SpaceX @blueorigin Exactly. Mars propellant production will combine atmospheric… https://t.co/3RKJkZG1eF,30-01-2020,23:00:44,3364
@thirdrowtesla This number won’t leave me alone! 🤣🤣,30-01-2020,21:47:22,8929
Just wrote a song called “Don’t doubt yer vibe”,30-01-2020,20:41:37,193981
@waitbutwhy @NSF @kottke we r smôl,30-01-2020,06:18:26,14455
"RT @Erdayastronaut: Veritical video might be a sin... so consider me a sinner 😈 Is
 there such thing as too zoomed in? 😂 here’s a preview o…",30-01-2020,06:10:32,0
🕺,30-01-2020,03:13:12,115198
"@jeff_foust @SciGuySpace Ok, not so bad",29-01-2020,19:52:57,967
@SciGuySpace Who is hating on ISRU &amp; why? Doesn’t make sense.,29-01-2020,19:52:20,1695
A friend just sent me this excerpt from a Tesla blog I wrote 14 years ago https://t.co/Hr8w52ithY,29-01-2020,19:08:09,360599
"@SciGuySpace Tonnage delivered to orbit, normalized to LEO, would be interesting to see",29-01-2020,18:57:08,1583
"@SciGuySpace If all goes well, Falcon 9 will achieve triple digits this year",29-01-2020,18:56:13,4711
RT @SpaceX: Ms. Tree caught a fairing half – our third successful catch! https://t.co/VJU8asg4gS,29-01-2020,15:10:35,0
RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – our 49th successful landing of an orbital class…,29-01-2020,15:10:27,0
RT @SpaceX: Liftoff! https://t.co/rFRtJuTXFL,29-01-2020,15:10:20,0
@FuturamaKing Ice,29-01-2020,03:56:03,2296
@DJTopherLee 8.5 bar,29-01-2020,03:53:44,3896
Liquid nitrogen cryogenic strength test underway ☃️ https://t.co/qRPBLInqm0,29-01-2020,03:51:38,68258
🪑,29-01-2020,03:45:52,28823
@universal_sci Matter is extremely fluffy!,29-01-2020,03:44:42,6508
Chairs are underappreciated,28-01-2020,19:34:43,304059
The stars in Starship’s mirrored hull reflected,28-01-2020,05:30:00,55183
@DavidDobrik !,28-01-2020,05:16:12,128125
"RT @NASA: Who says Dragons aren’t real? 🔥🐲

Capture the excitement of a rocket launch and apply to tour @NASAKennedy and witness the next @…",28-01-2020,00:39:05,0
@John_Gardi @Erdayastronaut Already being done,28-01-2020,00:15:15,2260
"@Erdayastronaut Parent material strength roughly doubles, so weld strength is the only real question mark",28-01-2020,00:01:40,2574
